Drug Name,Temperature (oC),Concentration (mM),% Transmittance,Difference from Control
NaCl,28,6,74.30191379,25.16225707
NaCl,29,6,69.07697858,30.15843103
NaCl,30,6,61.00049137,36.4984724
NaCl,31,6,50.81594426,45.19778388
NaCl,32,6,43.81942422,51.38709044
NaCl,33,6,39.44573021,54.96035742
NaCl,34,6,36.47539469,56.9216928
NaCl,35,6,34.32943586,58.85284429
NaCl,36,6,33.01160703,59.60026578
NaCl,37,6,32.28494122,59.83069019
NaCl,38,6,31.86642422,60.46155565
NaCl,39,6,31.6470573,60.75181412
NaCl,40,6,31.38099189,61.15982595
NaCl,25,8,84.78779348,15.21220652
NaCl,26,8,81.97221428,15.90163447
NaCl,27,8,78.88601176,19.28878254
NaCl,28,8,76.03262769,23.43154316
NaCl,29,8,70.03793508,29.19747454
NaCl,30,8,59.93308962,37.56587415
NaCl,31,8,47.78959316,48.22413498
NaCl,32,8,39.96378986,55.24272479
NaCl,33,8,35.42691484,58.97917279
NaCl,34,8,32.35936569,61.0377218
NaCl,35,8,30.43219887,62.75008128
NaCl,36,8,29.30893245,63.30294036
NaCl,37,8,28.86245929,63.25317212
NaCl,38,8,28.75190777,63.5760721
NaCl,39,8,28.57590543,63.82296598
NaCl,40,8,28.51018268,64.03063517
NaCl,25,10,83.49619153,16.50380847
NaCl,26,10,81.0338861,16.83996265
NaCl,27,10,77.92317984,20.25161446
NaCl,28,10,74.53037962,24.93379123
NaCl,29,10,68.07693587,31.15847374
NaCl,30,10,57.19174311,40.30722066
NaCl,31,10,44.77133042,51.24239772
NaCl,32,10,37.0965339,58.10998076
NaCl,33,10,32.68385938,61.72222825
NaCl,34,10,29.83092132,63.56616617
NaCl,35,10,27.83983562,65.34244453
NaCl,36,10,26.97739432,65.63447849
NaCl,37,10,26.4443766,65.67125481
NaCl,38,10,26.36331386,65.96466601
NaCl,39,10,26.14167032,66.2572011
NaCl,40,10,26.04154021,66.49927764
KCl,25,0,100,0
KCl,26,0,96.90213223,0
KCl,27,0,94.11669469,0
KCl,28,0,91.90377134,0
KCl,29,0,89.39913842,0
KCl,30,0,87.02953572,0
KCl,31,0,84.13951416,0
KCl,32,0,81.4704284,0
KCl,33,0,79.12857292,0
KCl,34,0,77.8036551,0
KCl,35,0,76.38357836,0
KCl,36,0,75.27775638,0
KCl,37,0,74.58760576,0
KCl,38,0,74.0173161,0
KCl,39,0,73.62070975,0
KCl,40,0,74.18794363,0
KCl,25,2,103.5936973,-3.593697263
KCl,26,2,100.5387157,-3.636583512
KCl,27,2,97.12551471,-3.008820021
KCl,28,2,94.76908045,-2.865309115
KCl,29,2,90.57326009,-1.174121668
KCl,30,2,85.17915616,1.850379562
KCl,31,2,78.64419415,5.495320015
KCl,32,2,73.05781288,8.412615522
KCl,33,2,69.07697858,10.05159434
KCl,34,2,66.27249688,11.53115823
KCl,35,2,64.12095766,12.2626207
KCl,36,2,62.56527147,12.71248491
KCl,37,2,61.32911062,13.25849515
KCl,38,2,60.58056694,13.43674916
KCl,39,2,59.88710692,13.73360283
KCl,40,2,59.42921586,14.75872777
KCl,25,4,103.9920166,-3.992016583
KCl,26,4,100.8478553,-3.94572308
KCl,27,4,97.87384875,-3.757154059
KCl,28,4,94.18895965,-2.285188316
KCl,29,4,88.24023716,1.158901263
KCl,30,4,79.00719926,8.022336461
KCl,31,4,67.92036326,16.2191509
KCl,32,4,60.02516096,21.44526744
KCl,33,4,54.74359743,24.38497549
KCl,34,4,51.08969775,26.71395736
KCl,35,4,48.49161704,27.89196132
KCl,36,4,46.70176921,28.57598717
KCl,37,4,45.81418867,28.77341709
KCl,38,4,45.25501015,28.76230595
KCl,39,4,44.84010973,28.78060002
KCl,40,4,44.29282019,29.89512345
KCl,25,6,103.9920166,-3.992016583
KCl,26,6,100.0767823,-3.174650073
KCl,27,6,96.90213223,-2.785437536
KCl,28,6,92.04495718,-0.141185839
